# iy iz iroll Y Z Roll candidate quality q0 q1 q2 q3 q4 q5 mode
0 0 0 -0.75000000 -0.05000000 -0.80000000 -1 1.13645763 0.70000000 -0.00000000 -0.32269371 1.43347146 0.92873400 0.00000000 0
0 0 1 -0.75000000 -0.05000000 -0.59444400 -1 1.54026422 0.80000000 -0.00000000 -0.31815186 1.43229026 -1.14552000 0.00000000 0
0 0 2 -0.75000000 -0.05000000 -0.38888900 -1 1.67747361 0.80000000 -0.00000000 -0.29123629 1.44638464 0.76298100 0.00000000 0
0 0 3 -0.75000000 -0.05000000 -0.18333300 -1 1.64565968 1.00000000 -0.00000001 -0.24763829 1.47247505 1.64032000 0.00000000 0
0 0 4 -0.75000000 -0.05000000 0.02222220 -1 1.44940273 1.00000000 -0.00000001 -0.22061186 1.48918818 -0.19841000 0.00000000 0
0 0 5 -0.75000000 -0.05000000 0.22777800 -1 1.08640727 1.00000000 -0.00000000 -0.23744476 1.46718726 0.11184600 0.00000000 0
0 0 6 -0.75000000 -0.05000000 0.43333300 -1 0.83677546 1.00000000 -0.00000000 -0.38782903 1.35537122 0.62419900 0.00000000 0
0 0 7 -0.75000000 -0.05000000 0.63888900 -1 0.98203078 1.00000000 -0.00000000 -0.50049292 1.22591038 1.03919000 0.00000000 0
0 0 8 -0.75000000 -0.05000000 0.84444400 -1 1.17087046 1.00000000 -0.00000000 -0.48847776 1.17182270 1.45881000 0.00000000 0
0 0 9 -0.75000000 -0.05000000 1.05000000 -1 1.09512859 0.90000000 -0.00000001 -0.47040733 1.15432679 1.66022000 0.00000000 0
0 1 0 -0.75000000 -0.00555556 -0.80000000 -1 1.15952808 0.60000000 -0.00000001 -0.29828524 1.41684882 0.25568900 0.00000000 0
0 1 1 -0.75000000 -0.00555556 -0.59444400 -1 1.59938474 0.70000000 0.00000000 -0.30242623 1.41817242 0.73041500 0.00000000 0
0 1 2 -0.75000000 -0.00555556 -0.38888900 -1 1.87166012 0.80000000 -0.00000001 -0.28788433 1.43826527 1.38258000 0.00000000 0
