# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5 cluster
0 0 0 0.00000000 0.40000000 1.20000000 0 5.87687000 1.00000000 0.00000000 0.48916806 -1.32411494 -2.19180092 1.57000000 0.00000000 0
0 0 1 0.00000000 0.40000000 1.51818000 0 5.89766000 1.00000000 0.00000000 0.40054399 -0.95225125 -2.18130630 1.57000000 0.00000000 0
0 0 2 0.00000000 0.40000000 1.83636000 0 5.38343000 0.87500000 0.00000000 0.14695126 -1.45359258 -2.24623112 1.57000000 0.00000000 0
0 0 3 0.00000000 0.40000000 2.15455000 0 5.37801000 0.87500000 0.00000000 -1.71722567 -1.65764588 -2.10171986 1.57000000 0.00000000 0
0 0 4 0.00000000 0.40000000 2.47273000 0 5.89655000 1.00000000 0.00000000 -2.11765209 -1.42492716 -2.14720260 1.57000000 0.00000000 0
0 0 5 0.00000000 0.40000000 2.79091000 0 5.90937000 1.00000000 0.00000000 -2.19595260 -1.39089508 -2.12328788 1.57000000 0.00000000 0
0 0 6 0.00000000 0.40000000 3.10909000 0 5.88481000 1.00000000 0.00000000 -2.33564327 -1.32867182 -2.11468698 1.57000000 0.00000000 0
0 0 7 0.00000000 0.40000000 3.42727000 0 5.87403000 1.00000000 0.00000000 -2.49192883 -1.26998802 -2.15956779 1.57000000 0.00000000 0
0 0 8 0.00000000 0.40000000 3.74545000 0 5.34760000 0.87500000 0.00000000 -2.75278806 -1.53460073 -1.74330552 1.57000000 0.00000000 0
0 0 9 0.00000000 0.40000000 4.06364000 0 4.86962000 0.75000000 0.00000000 -3.08702225 -1.50630639 -1.83408513 1.57000000 0.00000000 0
0 0 10 0.00000000 0.40000000 4.38182000 0 4.34046000 0.75000000 0.00000000 -3.31506517 -1.11734498 -2.13975363 1.57000000 0.00000000 0
0 0 11 0.00000000 0.40000000 4.70000000 0 2.66818000 0.25000000 0.00000000 -3.40488213 -1.06280511 -2.20309526 1.57000000 0.00000000 0
0 1 0 0.00000000 0.45000000 1.20000000 0 5.92999000 1.00000000 0.00000000 0.18384951 -1.33345622 -2.37515586 1.57000000 0.00000000 0
0 1 1 0.00000000 0.45000000 1.51818000 0 5.95115000 1.00000000 0.00000000 0.25555498 -1.24769857 -2.36595035 1.57000000 0.00000000 0
0 1 2 0.00000000 0.45000000 1.83636000 0 5.92784000 1.00000000 0.00000000 -0.88359573 1.08144944 -1.20931047 1.57000000 0.00000000 1
0 1 3 0.00000000 0.45000000 2.15455000 0 5.37339000 0.87500000 0.00000000 -1.36191256 1.38840179 -1.17929910 1.57000000 0.00000000 1
0 1 4 0.00000000 0.45000000 2.47273000 0 5.84587000 1.00000000 0.00000000 -1.73262641 -1.70909032 -2.06410234 1.57000000 0.00000000 0
0 1 5 0.00000000 0.45000000 2.79091000 0 5.89227000 1.00000000 0.00000000 -2.19215585 -1.39899025 -2.13077794 1.57000000 0.00000000 0
0 1 6 0.00000000 0.45000000 3.10909000 0 5.87829000 1.00000000 0.00000000 -2.35774194 -1.33255738 -2.13921674 1.57000000 0.00000000 0
0 1 7 0.00000000 0.45000000 3.42727000 0 5.72277000 1.00000000 0.00000000 -2.55876052 -1.29949916 -2.18885376 1.57000000 0.00000000 0
0 1 8 0.00000000 0.45000000 3.74545000 0 5.40683000 0.87500000 0.00000000 -2.76681040 -1.39108891 -2.16100762 1.57000000 0.00000000 0
0 1 9 0.00000000 0.45000000 4.06364000 0 5.04960000 0.87500000 0.00000000 -3.11113653 -1.25311327 -1.98562074 1.57000000 0.00000000 0
0 1 10 0.00000000 0.45000000 4.38182000 0 3.78388000 0.50000000 0.00000000 -3.30017433 -1.18653398 -2.06839632 1.57000000 0.00000000 0
0 1 11 0.00000000 0.45000000 4.70000000 0 3.11932000 0.37500000 0.00000000 -3.36227046 -1.11359375 -2.16568227 1.57000000 0.00000000 0
0 2 0 0.00000000 0.50000000 1.20000000 0 5.93351000 1.00000000 0.00000000 -0.39061677 1.34502489 -1.86205351 1.57000000 0.00000000 1
0 2 1 0.00000000 0.50000000 1.51818000 0 5.94726000 1.00000000 0.00000000 0.37937380 -1.37281563 -2.31313261 1.57000000 0.00000000 0
0 2 2 0.00000000 0.50000000 1.83636000 0 5.92897000 1.00000000 0.00000000 -1.18194195 1.46188714 -1.35331260 1.57000000 0.00000000 1
0 2 3 0.00000000 0.50000000 2.15455000 0 5.40234000 0.87500000 0.00000000 -1.84020401 -1.50046067 -2.34210349 1.57000000 0.00000000 0
0 2 4 0.00000000 0.50000000 2.47273000 0 5.89008000 1.00000000 0.00000000 -1.88866233 -1.44180210 -2.26747244 1.57000000 0.00000000 0
0 2 5 0.00000000 0.50000000 2.79091000 0 5.91327000 1.00000000 0.00000000 -2.11413870 -1.37052942 -2.23165454 1.57000000 0.00000000 0
0 2 6 0.00000000 0.50000000 3.10909000 0 5.86674000 1.00000000 0.00000000 -2.33714777 -1.34410192 -2.22462915 1.57000000 0.00000000 0
0 2 7 0.00000000 0.50000000 3.42727000 0 5.70714000 1.00000000 0.00000000 -2.54579230 -1.40248392 -2.23526068 1.57000000 0.00000000 0
0 2 8 0.00000000 0.50000000 3.74545000 0 5.35024000 0.87500000 0.00000000 -2.72052950 -1.50149942 -2.21045297 1.57000000 0.00000000 0
0 2 9 0.00000000 0.50000000 4.06364000 0 4.71731000 0.75000000 0.00000000 -3.06340383 -1.34486767 -2.11297930 1.57000000 0.00000000 0
0 2 10 0.00000000 0.50000000 4.38182000 0 3.85104000 0.50000000 0.00000000 -3.22271360 -1.23840709 -2.14368764 1.57000000 0.00000000 0
0 2 11 0.00000000 0.50000000 4.70000000 0 3.18052000 0.37500000 0.00000000 -2.91155294 -1.60360446 -1.47577795 1.57000000 0.00000000 0
0 3 0 0.00000000 0.55000000 1.20000000 0 5.80505000 1.00000000 0.00000000 0.47226614 -1.61060636 -2.20407217 1.57000000 0.00000000 0
0 3 1 0.00000000 0.55000000 1.51818000 0 5.93120000 1.00000000 0.00000000 0.47855617 -1.52664763 -2.23090641 1.57000000 0.00000000 0
0 3 2 0.00000000 0.55000000 1.83636000 0 5.93812000 1.00000000 0.00000000 -0.88799489 1.37198425 -2.03069899 1.57000000 0.00000000 1
0 3 3 0.00000000 0.55000000 2.15455000 0 5.40714000 0.87500000 0.00000000 -1.24818024 1.34131843 -1.39856536 1.57000000 0.00000000 1
0 3 4 0.00000000 0.55000000 2.47273000 0 5.36110000 0.87500000 0.00000000 -1.77987065 -1.45464981 -2.40264954 1.57000000 0.00000000 0
0 3 5 0.00000000 0.55000000 2.79091000 0 5.89327000 1.00000000 0.00000000 -1.95848058 -1.45580676 -2.20248911 1.57000000 0.00000000 0
0 3 6 0.00000000 0.55000000 3.10909000 0 5.88028000 1.00000000 0.00000000 -2.16785778 -1.42021524 -2.23581747 1.57000000 0.00000000 0
0 3 7 0.00000000 0.55000000 3.42727000 0 5.83755000 1.00000000 0.00000000 -2.37277372 -1.43353260 -2.25280486 1.57000000 0.00000000 0
0 3 8 0.00000000 0.55000000 3.74545000 0 5.35515000 0.87500000 0.00000000 -2.56492548 -1.42983223 -2.21978553 1.57000000 0.00000000 0
0 3 9 0.00000000 0.55000000 4.06364000 0 4.81832000 0.75000000 0.00000000 -2.72374568 -1.61580041 -1.45780656 1.57000000 0.00000000 0
0 3 10 0.00000000 0.55000000 4.38182000 0 4.33726000 0.62500000 0.00000000 -2.81762001 -1.52621207 -1.46495208 1.57000000 0.00000000 0
0 3 11 0.00000000 0.55000000 4.70000000 0 3.37124000 0.37500000 0.00000000 -2.88104187 -1.47554382 -1.47846439 1.57000000 0.00000000 0
0 4 0 0.00000000 0.60000000 1.20000000 0 5.78916000 1.00000000 0.00000000 -0.20796061 1.50310014 -1.99922843 1.57000000 0.00000000 1
0 4 1 0.00000000 0.60000000 1.51818000 0 5.91595000 1.00000000 0.00000000 0.47618236 -1.53826913 -2.18389157 1.57000000 0.00000000 0
0 4 2 0.00000000 0.60000000 1.83636000 0 5.91690000 1.00000000 0.00000000 0.33403841 -1.53557139 -2.04111736 1.57000000 0.00000000 0
0 4 3 0.00000000 0.60000000 2.15455000 0 5.90276000 1.00000000 0.00000000 -1.29514448 1.31365617 -1.48632807 1.57000000 0.00000000 1
0 4 4 0.00000000 0.60000000 2.47273000 0 5.34243000 0.87500000 0.00000000 -1.77134873 -1.40311813 -2.40729710 1.57000000 0.00000000 0
0 4 5 0.00000000 0.60000000 2.79091000 0 5.78138000 1.00000000 0.00000000 -1.77889275 -1.52704805 -2.21674159 1.57000000 0.00000000 0
0 4 6 0.00000000 0.60000000 3.10909000 0 5.88722000 1.00000000 0.00000000 -1.95980659 -1.49947854 -2.24869338 1.57000000 0.00000000 0
0 4 7 0.00000000 0.60000000 3.42727000 0 5.88123000 1.00000000 0.00000000 -2.20159534 -1.44838459 -2.26283241 1.57000000 0.00000000 0
