# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5 cluster
0 0 0 -0.75000000 0.40000000 1.20000000 0 5.10720000 1.00000000 0.00000000 -0.25083199 1.12641346 -2.15232163 0.00000000 0.00000000 1
0 0 1 -0.75000000 0.40000000 1.51818000 0 5.11419000 1.00000000 0.00000000 0.18547117 -0.28275857 -2.31778379 0.00000000 0.00000000 0
0 0 2 -0.75000000 0.40000000 1.83636000 0 4.61037000 0.87500000 0.00000000 -0.57876882 0.58080941 -1.50596333 0.00000000 0.00000000 1
0 0 3 -0.75000000 0.40000000 2.15455000 0 4.11398000 0.75000000 0.00000000 -0.97029797 0.48081544 -1.84202376 0.00000000 0.00000000 1
0 0 4 -0.75000000 0.40000000 2.47273000 0 5.10899000 1.00000000 0.00000000 -1.19064338 0.17350694 -2.10352352 0.00000000 0.00000000 1
0 0 5 -0.75000000 0.40000000 2.79091000 0 5.09261000 1.00000000 0.00000000 -1.37845897 -0.95671680 -2.60879969 0.00000000 0.00000000 2
0 0 6 -0.75000000 0.40000000 3.10909000 0 5.08883000 1.00000000 0.00000000 -2.50441858 -1.43109903 -2.70716554 0.00000000 0.00000000 2
0 0 7 -0.75000000 0.40000000 3.42727000 0 5.08062000 1.00000000 0.00000000 -2.89287644 -1.20859566 -2.68286501 0.00000000 0.00000000 2
0 0 8 -0.75000000 0.40000000 3.74545000 0 4.04363000 0.75000000 0.00000000 -2.99696404 -1.10685276 -2.66674874 0.00000000 0.00000000 2
0 0 9 -0.75000000 0.40000000 4.06364000 0 4.54576000 0.87500000 0.00000000 -3.04293112 -1.33637369 -1.89219720 0.00000000 0.00000000 2
0 0 10 -0.75000000 0.40000000 4.38182000 0 3.96716000 0.75000000 0.00000000 -3.27324479 -0.30740875 -2.79549713 0.00000000 0.00000000 2
0 0 11 -0.75000000 0.40000000 4.70000000 0 2.97324000 0.50000000 0.00000000 -3.53979746 -1.48244318 -1.81216029 0.00000000 0.00000000 2
0 1 0 -0.75000000 0.45000000 1.20000000 0 5.08056000 1.00000000 0.00000000 0.26520733 -0.36190666 -2.33965575 0.00000000 0.00000000 0
0 1 1 -0.75000000 0.45000000 1.51818000 0 5.09026000 1.00000000 0.00000000 0.11864721 -0.24748435 -2.35888420 0.00000000 0.00000000 0
0 1 2 -0.75000000 0.45000000 1.83636000 0 4.61271000 0.87500000 0.00000000 -0.62485114 0.63993330 -1.47649823 0.00000000 0.00000000 1
0 1 3 -0.75000000 0.45000000 2.15455000 0 4.11119000 0.75000000 0.00000000 -0.88769159 0.22971589 -2.06159084 0.00000000 0.00000000 1
0 1 4 -0.75000000 0.45000000 2.47273000 0 5.11070000 1.00000000 0.00000000 -1.03588298 0.20298423 -2.00207420 0.00000000 0.00000000 1
0 1 5 -0.75000000 0.45000000 2.79091000 0 5.10290000 1.00000000 0.00000000 -1.37759825 0.16185324 -2.15508145 0.00000000 0.00000000 1
0 1 6 -0.75000000 0.45000000 3.10909000 0 5.07292000 1.00000000 0.00000000 -3.07242683 -1.29454630 -2.64841340 0.00000000 0.00000000 2
0 1 7 -0.75000000 0.45000000 3.42727000 0 5.01759000 1.00000000 0.00000000 -2.78472187 -1.23434189 -2.59218316 0.00000000 0.00000000 2
0 1 8 -0.75000000 0.45000000 3.74545000 0 5.03927000 1.00000000 0.00000000 -2.94047222 -0.98998446 -2.67116852 0.00000000 0.00000000 2
0 1 9 -0.75000000 0.45000000 4.06364000 0 4.07609000 0.75000000 0.00000000 -3.00373876 -1.44348684 -1.90592878 0.00000000 0.00000000 2
0 1 10 -0.75000000 0.45000000 4.38182000 0 3.05029000 0.50000000 0.00000000 -3.26434369 -1.31535540 -2.00652928 0.00000000 0.00000000 2
0 1 11 -0.75000000 0.45000000 4.70000000 0 2.52074000 0.37500000 0.00000000 -3.39001683 -1.41543732 -1.98592865 0.00000000 0.00000000 2
0 2 0 -0.75000000 0.50000000 1.20000000 0 5.07562000 1.00000000 0.00000000 0.68234686 -0.89131133 -2.12087143 0.00000000 0.00000000 0
0 2 1 -0.75000000 0.50000000 1.51818000 0 5.08115000 1.00000000 0.00000000 0.63064425 -1.07307086 -2.08741333 0.00000000 0.00000000 0
0 2 2 -0.75000000 0.50000000 1.83636000 0 5.10191000 1.00000000 0.00000000 -0.19807475 -0.19596282 -2.47708925 0.00000000 0.00000000 0
0 2 3 -0.75000000 0.50000000 2.15455000 0 4.11088000 0.75000000 0.00000000 -0.40483199 -0.52908556 -1.82892290 0.00000000 0.00000000 1
