# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5 cluster
0 0 0 -0.75000000 0.40000000 1.20000000 0 5.41919000 0.87500000 0.00000000 -0.45891989 1.26847159 -1.19115445 1.57000000 0.00000000 0
0 0 1 -0.75000000 0.40000000 1.51818000 0 5.93073000 1.00000000 0.00000000 0.45268554 -1.37247936 -2.10864864 1.57000000 0.00000000 1
0 0 2 -0.75000000 0.40000000 1.83636000 0 4.93096000 0.75000000 0.00000000 -1.27225762 1.52402913 -1.13811485 1.57000000 0.00000000 0
0 0 3 -0.75000000 0.40000000 2.15455000 0 4.89748000 0.75000000 0.00000000 -1.17671158 1.18359100 -2.04461496 1.57000000 0.00000000 0
0 0 4 -0.75000000 0.40000000 2.47273000 0 5.88576000 1.00000000 0.00000000 -2.12100156 -1.48886868 -2.33304671 1.57000000 0.00000000 2
0 0 5 -0.75000000 0.40000000 2.79091000 0 5.89763000 1.00000000 0.00000000 -2.18729690 -1.47970982 -2.29405707 1.57000000 0.00000000 2
0 0 6 -0.75000000 0.40000000 3.10909000 0 5.39489000 0.87500000 0.00000000 -2.20709954 -1.48497550 -2.09399121 1.57000000 0.00000000 2
0 0 7 -0.75000000 0.40000000 3.42727000 0 5.18087000 0.87500000 0.00000000 -2.77280594 -1.34143999 -2.31659269 1.57000000 0.00000000 2
0 0 8 -0.75000000 0.40000000 3.74545000 0 5.19171000 0.87500000 0.00000000 -3.03889981 -1.16758672 -2.37577917 1.57000000 0.00000000 2
0 0 9 -0.75000000 0.40000000 4.06364000 0 3.80852000 0.50000000 0.00000000 -3.18626198 -1.15370025 -2.32641549 1.57000000 0.00000000 2
0 0 10 -0.75000000 0.40000000 4.38182000 0 3.32598000 0.50000000 0.00000000 -3.29740874 -1.07381971 -2.13156252 1.57000000 0.00000000 2
0 0 11 -0.75000000 0.40000000 4.70000000 0 3.22376000 0.37500000 0.00000000 -3.41300306 -1.05926689 -1.86561310 1.57000000 0.00000000 2
0 1 0 -0.75000000 0.45000000 1.20000000 0 5.43689000 0.87500000 0.00000000 -0.26098701 1.19628063 -1.43370155 1.57000000 0.00000000 0
0 1 1 -0.75000000 0.45000000 1.51818000 0 5.44978000 0.87500000 0.00000000 0.40991149 -1.28478767 -2.08830393 1.57000000 0.00000000 1
0 1 2 -0.75000000 0.45000000 1.83636000 0 4.91668000 0.75000000 0.00000000 0.35924276 -1.28210593 -2.08022218 1.57000000 0.00000000 1
0 1 3 -0.75000000 0.45000000 2.15455000 0 4.88857000 0.75000000 0.00000000 -2.05956071 -1.51511260 -2.27160102 1.57000000 0.00000000 2
0 1 4 -0.75000000 0.45000000 2.47273000 0 5.89472000 1.00000000 0.00000000 -2.04658507 -1.44828971 -2.28883627 1.57000000 0.00000000 2
0 1 5 -0.75000000 0.45000000 2.79091000 0 5.88481000 1.00000000 0.00000000 -2.15059920 -1.44392721 -2.27311709 1.57000000 0.00000000 2
0 1 6 -0.75000000 0.45000000 3.10909000 0 5.41074000 0.87500000 0.00000000 -2.42583699 -1.40550456 -2.26008902 1.57000000 0.00000000 2
0 1 7 -0.75000000 0.45000000 3.42727000 0 5.37074000 0.87500000 0.00000000 -2.61771178 -1.36773121 -2.27560733 1.57000000 0.00000000 2
0 1 8 -0.75000000 0.45000000 3.74545000 0 5.14391000 0.87500000 0.00000000 -2.70146978 -1.38601170 -2.26214343 1.57000000 0.00000000 2
0 1 9 -0.75000000 0.45000000 4.06364000 0 4.77541000 0.75000000 0.00000000 -3.18542364 -1.14624590 -2.17151954 1.57000000 0.00000000 2
0 1 10 -0.75000000 0.45000000 4.38182000 0 3.85459000 0.50000000 0.00000000 -3.23443736 -1.20661812 -2.18794863 1.57000000 0.00000000 2
0 1 11 -0.75000000 0.45000000 4.70000000 0 3.99059000 0.62500000 0.00000000 -3.33795490 -1.13651556 -1.81689383 1.57000000 0.00000000 2
0 2 0 -0.75000000 0.50000000 1.20000000 0 5.41607000 0.87500000 0.00000000 -0.24028398 1.22951592 -1.44552847 1.57000000 0.00000000 0
0 2 1 -0.75000000 0.50000000 1.51818000 0 5.43207000 0.87500000 0.00000000 0.39347374 -1.23975437 -2.07393373 1.57000000 0.00000000 1
0 2 2 -0.75000000 0.50000000 1.83636000 0 4.93899000 0.75000000 0.00000000 0.36629627 -1.22913477 -1.59448558 1.57000000 0.00000000 3
0 2 3 -0.75000000 0.50000000 2.15455000 0 4.89526000 0.75000000 0.00000000 -1.81084092 -1.42654895 -2.21334058 1.57000000 0.00000000 2
0 2 4 -0.75000000 0.50000000 2.47273000 0 4.88854000 0.75000000 0.00000000 -1.89346351 -1.62152829 -2.14618615 1.57000000 0.00000000 2
0 2 5 -0.75000000 0.50000000 2.79091000 0 5.36388000 0.87500000 0.00000000 -1.97859266 -1.43424036 -2.22657131 1.57000000 0.00000000 2
0 2 6 -0.75000000 0.50000000 3.10909000 0 5.41043000 0.87500000 0.00000000 -2.33680131 -1.39996892 -2.28178784 1.57000000 0.00000000 2
0 2 7 -0.75000000 0.50000000 3.42727000 0 5.37686000 0.87500000 0.00000000 -2.47759097 -1.38527207 -2.24654748 1.57000000 0.00000000 2
0 2 8 -0.75000000 0.50000000 3.74545000 0 4.88662000 0.75000000 0.00000000 -2.58744971 -1.34892288 -2.16015806 1.57000000 0.00000000 2
0 2 9 -0.75000000 0.50000000 4.06364000 0 4.84768000 0.75000000 0.00000000 -3.02657334 -1.07155203 -2.09156199 1.57000000 0.00000000 2
0 2 10 -0.75000000 0.50000000 4.38182000 0 4.32394000 0.62500000 0.00000000 -2.90557424 -1.37767366 -1.71348269 1.57000000 0.00000000 2
0 2 11 -0.75000000 0.50000000 4.70000000 0 4.23781000 0.62500000 0.00000000 -3.09877412 -1.34837542 -1.71791386 1.57000000 0.00000000 2
0 3 0 -0.75000000 0.55000000 1.20000000 0 5.40645000 0.87500000 0.00000000 -0.04145072 0.74015142 -1.10705978 1.57000000 0.00000000 0
0 3 1 -0.75000000 0.55000000 1.51818000 0 5.44130000 0.87500000 0.00000000 -0.64415981 1.31959143 -1.13073083 1.57000000 0.00000000 0
0 3 2 -0.75000000 0.55000000 1.83636000 0 5.44453000 0.87500000 0.00000000 0.30624114 -1.18524787 -1.55278893 1.57000000 0.00000000 3
0 3 3 -0.75000000 0.55000000 2.15455000 0 4.39131000 0.62500000 0.00000000 0.25778278 -1.13668525 -1.55855676 1.57000000 0.00000000 3
0 3 4 -0.75000000 0.55000000 2.47273000 0 4.34192000 0.62500000 0.00000000 -1.95380022 -1.62496723 -2.18483531 1.57000000 0.00000000 2
0 3 5 -0.75000000 0.55000000 2.79091000 0 5.40199000 0.87500000 0.00000000 -1.69062300 -1.69942406 -2.04647471 1.57000000 0.00000000 2
0 3 6 -0.75000000 0.55000000 3.10909000 0 5.35004000 0.87500000 0.00000000 -2.25568990 -1.47471724 -2.27092931 1.57000000 0.00000000 2
0 3 7 -0.75000000 0.55000000 3.42727000 0 5.34717000 0.87500000 0.00000000 -2.39120788 -1.43616053 -2.22161799 1.57000000 0.00000000 2
0 3 8 -0.75000000 0.55000000 3.74545000 0 5.26632000 0.87500000 0.00000000 -2.51019496 -1.33534807 -2.14288977 1.57000000 0.00000000 2
0 3 9 -0.75000000 0.55000000 4.06364000 0 4.90252000 0.75000000 0.00000000 -2.79862219 -1.10023394 -2.02040079 1.57000000 0.00000000 2
0 3 10 -0.75000000 0.55000000 4.38182000 0 4.40754000 0.62500000 0.00000000 -2.87532062 -1.32477887 -1.71051669 1.57000000 0.00000000 2
0 3 11 -0.75000000 0.55000000 4.70000000 0 3.29194000 0.37500000 0.00000000 -3.00398018 -1.34267744 -1.71885334 1.57000000 0.00000000 2
0 4 0 -0.75000000 0.60000000 1.20000000 0 5.41484000 0.87500000 0.00000000 -0.04070478 0.74962630 -1.14601545 1.57000000 0.00000000 0
0 4 1 -0.75000000 0.60000000 1.51818000 0 5.44877000 0.87500000 0.00000000 -0.72406357 1.39774000 -1.21986708 1.57000000 0.00000000 0
0 4 2 -0.75000000 0.60000000 1.83636000 0 5.43631000 0.87500000 0.00000000 0.28832063 -1.16807405 -1.55249339 1.57000000 0.00000000 3
0 4 3 -0.75000000 0.60000000 2.15455000 0 4.40854000 0.62500000 0.00000000 -1.18214851 1.19688980 -1.32065313 1.57000000 0.00000000 0
0 4 4 -0.75000000 0.60000000 2.47273000 0 4.28474000 0.62500000 0.00000000 -2.11380531 -1.84123962 -2.16653254 1.57000000 0.00000000 2
0 4 5 -0.75000000 0.60000000 2.79091000 0 5.36987000 0.87500000 0.00000000 -1.52023564 -1.71507165 -1.95551453 1.57000000 0.00000000 2
0 4 6 -0.75000000 0.60000000 3.10909000 0 5.39117000 0.87500000 0.00000000 -2.31859302 -1.55378982 -2.09041461 1.57000000 0.00000000 2
0 4 7 -0.75000000 0.60000000 3.42727000 0 5.38448000 0.87500000 0.00000000 -2.36865961 -1.50372165 -2.15206159 1.57000000 0.00000000 2
0 4 8 -0.75000000 0.60000000 3.74545000 0 5.32604000 0.87500000 0.00000000 -2.50595624 -1.32790932 -1.83477516 1.57000000 0.00000000 2
0 4 9 -0.75000000 0.60000000 4.06364000 0 4.90122000 0.75000000 0.00000000 -2.80679983 -1.28330384 -1.79512210 1.57000000 0.00000000 2
0 4 10 -0.75000000 0.60000000 4.38182000 0 3.87585000 0.50000000 0.00000000 -3.02997749 -1.13997015 -1.86880396 1.57000000 0.00000000 2
0 4 11 -0.75000000 0.60000000 4.70000000 0 3.80823000 0.50000000 0.00000000 -3.07053894 -1.16950380 -1.85175929 1.57000000 0.00000000 2
