# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5
0 0 0 -0.75000000 -0.05000000 -0.80000000 0 9.09231000 0.80000000 0.00000000 -0.01612920 0.87612235 -1.53121958 0.00000000 0.00000000
0 0 1 -0.75000000 -0.05000000 -0.59444400 0 9.10251000 0.80000000 0.00000000 -0.31080232 1.07953712 1.36125953 0.00000000 0.00000000
0 0 2 -0.75000000 -0.05000000 -0.38888900 0 11.10760000 1.00000000 0.00000000 -0.33692531 0.67970021 1.12846395 0.00000000 0.00000000
0 0 3 -0.75000000 -0.05000000 -0.18333300 0 10.09610000 0.90000000 0.00000000 -0.92340460 1.76011082 0.40011753 0.00000000 0.00000000
0 0 4 -0.75000000 -0.05000000 0.02222220 0 11.09860000 1.00000000 0.00000000 0.42017272 0.85676101 1.25557546 0.00000000 0.00000000
0 0 5 -0.75000000 -0.05000000 0.22777800 0 11.09850000 1.00000000 0.00000000 -0.56747030 1.76743633 0.45740277 0.00000000 0.00000000
0 0 6 -0.75000000 -0.05000000 0.43333300 0 11.08900000 1.00000000 0.00000000 -0.55901841 2.02212186 0.44702901 0.00000000 0.00000000
0 0 7 -0.75000000 -0.05000000 0.63888900 0 11.04240000 1.00000000 0.00000000 -0.53517492 2.10934833 0.60373691 0.00000000 0.00000000
0 0 8 -0.75000000 -0.05000000 0.84444400 0 11.09320000 1.00000000 0.00000000 -0.52302591 1.75342050 1.14700795 0.00000000 0.00000000
0 0 9 -0.75000000 -0.05000000 1.05000000 0 10.08090000 0.90000000 0.00000000 -0.54537988 1.75515799 1.17322082 0.00000000 0.00000000
0 1 0 -0.75000000 -0.00555556 -0.80000000 0 9.05531000 0.80000000 0.00000000 -0.33650784 0.90766303 0.87817806 0.00000000 0.00000000
0 1 1 -0.75000000 -0.00555556 -0.59444400 0 10.06550000 0.90000000 0.00000000 -0.38701529 1.79476162 0.09609826 0.00000000 0.00000000
0 1 2 -0.75000000 -0.00555556 -0.38888900 0 11.05880000 1.00000000 0.00000000 -0.30995964 1.84787897 0.12483840 0.00000000 0.00000000
0 1 3 -0.75000000 -0.00555556 -0.18333300 0 11.07650000 1.00000000 0.00000000 -1.03943068 1.98833128 1.11980089 0.00000000 0.00000000
0 1 4 -0.75000000 -0.00555556 0.02222220 0 11.07630000 1.00000000 0.00000000 -0.47981673 1.14600835 0.60691238 0.00000000 0.00000000
0 1 5 -0.75000000 -0.00555556 0.22777800 0 11.09800000 1.00000000 0.00000000 0.05301412 0.69611881 1.33104227 0.00000000 0.00000000
0 1 6 -0.75000000 -0.00555556 0.43333300 0 11.08740000 1.00000000 0.00000000 0.11423874 0.72200684 1.31165782 0.00000000 0.00000000
0 1 7 -0.75000000 -0.00555556 0.63888900 0 11.08950000 1.00000000 0.00000000 -0.49891194 1.30277437 0.57668233 0.00000000 0.00000000
0 1 8 -0.75000000 -0.00555556 0.84444400 0 11.08940000 1.00000000 0.00000000 -0.40645781 1.32377158 0.55171882 0.00000000 0.00000000
0 1 9 -0.75000000 -0.00555556 1.05000000 0 10.09670000 0.90000000 0.00000000 -0.94285126 1.93846923 -0.27697730 0.00000000 0.00000000
0 2 0 -0.75000000 0.03888890 -0.80000000 0 9.02594000 0.80000000 0.00000000 -0.43111131 1.75152798 0.00310274 0.00000000 0.00000000
0 2 1 -0.75000000 0.03888890 -0.59444400 0 9.03719000 0.80000000 0.00000000 -0.38289092 1.75910204 -0.00233960 0.00000000 0.00000000
0 2 2 -0.75000000 0.03888890 -0.38888900 0 9.06321000 0.80000000 0.00000000 0.50568350 0.55043630 0.99128707 0.00000000 0.00000000
0 2 3 -0.75000000 0.03888890 -0.18333300 0 10.07780000 0.90000000 0.00000000 -1.01198535 1.86765359 1.18842657 0.00000000 0.00000000
0 2 4 -0.75000000 0.03888890 0.02222220 0 11.07830000 1.00000000 0.00000000 -0.43521999 0.81592178 1.18342470 0.00000000 0.00000000
0 2 5 -0.75000000 0.03888890 0.22777800 0 11.08630000 1.00000000 0.00000000 -0.43672583 0.71103346 1.42540205 0.00000000 0.00000000
0 2 6 -0.75000000 0.03888890 0.43333300 0 11.08010000 1.00000000 0.00000000 -1.27151272 1.79055049 1.35503788 0.00000000 0.00000000
0 2 7 -0.75000000 0.03888890 0.63888900 0 11.10400000 1.00000000 0.00000000 -0.29734467 1.85040591 -1.22374900 0.00000000 0.00000000
