# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5
0 0 0 -0.75000000 -0.05000000 -0.80000000 0 -0.63637338 0.70000000 0.00000000 -0.95558197 1.45319658 0.79424242 0.00000000 0.00000000
0 0 1 -0.75000000 -0.05000000 -0.59444400 0 -0.70090058 0.80000000 0.00000000 -0.39136914 1.42621024 -0.84974323 0.00000000 0.00000000
0 0 2 -0.75000000 -0.05000000 -0.38888900 0 -1.34438452 0.80000000 0.00000000 -0.06153614 1.43367948 0.72008877 0.00000000 0.00000000
0 0 3 -0.75000000 -0.05000000 -0.18333300 0 -1.50602078 1.00000000 0.00000000 -1.25552321 2.08901628 1.41314404 0.00000000 0.00000000
0 0 4 -0.75000000 -0.05000000 0.02222220 0 -1.95497146 1.00000000 0.00000000 -1.30862843 1.20536279 -0.06187743 0.00000000 0.00000000
0 0 5 -0.75000000 -0.05000000 0.22777800 0 -1.35729158 1.00000000 0.00000000 -0.07778364 1.02866293 0.09632807 0.00000000 0.00000000
0 0 6 -0.75000000 -0.05000000 0.43333300 0 -1.57009677 1.00000000 0.00000000 0.07609087 0.98116718 0.62000774 0.00000000 0.00000000
0 0 7 -0.75000000 -0.05000000 0.63888900 0 -2.19146989 1.00000000 0.00000000 -0.15684057 0.17022804 1.07730581 0.00000000 0.00000000
0 0 8 -0.75000000 -0.05000000 0.84444400 0 -1.67302349 1.00000000 0.00000000 -0.49759312 0.59226343 1.42814941 0.00000000 0.00000000
0 0 9 -0.75000000 -0.05000000 1.05000000 0 -1.84867754 0.90000000 0.00000000 -0.32932017 0.64730317 1.60973000 0.00000000 0.00000000
0 1 0 -0.75000000 -0.00555556 -0.80000000 0 -1.18433954 0.60000000 0.00000000 -0.18485437 1.49249385 0.33681777 0.00000000 0.00000000
0 1 1 -0.75000000 -0.00555556 -0.59444400 0 -1.27386156 0.70000000 0.00000000 -0.25605317 1.18143952 0.55791823 0.00000000 0.00000000
0 1 2 -0.75000000 -0.00555556 -0.38888900 0 -2.01096607 0.80000000 0.00000000 0.48148625 0.90038515 1.10063902 0.00000000 0.00000000
0 1 3 -0.75000000 -0.00555556 -0.18333300 0 -1.01973440 0.90000000 0.00000000 -0.28208178 1.44374612 0.03159016 0.00000000 0.00000000
0 1 4 -0.75000000 -0.00555556 0.02222220 0 -1.33534892 1.00000000 0.00000000 -1.00614017 0.74034183 0.43659655 0.00000000 0.00000000
0 1 5 -0.75000000 -0.00555556 0.22777800 0 -1.31246245 1.00000000 0.00000000 0.24168258 0.66421389 -0.50681892 0.00000000 0.00000000
0 1 6 -0.75000000 -0.00555556 0.43333300 0 -2.04626494 1.00000000 0.00000000 -0.08192535 0.73758741 0.62953307 0.00000000 0.00000000
0 1 7 -0.75000000 -0.00555556 0.63888900 0 -2.04725286 1.00000000 0.00000000 -0.16295595 0.53867505 0.39814181 0.00000000 0.00000000
0 1 8 -0.75000000 -0.00555556 0.84444400 0 -1.95671767 1.00000000 0.00000000 -0.15102169 0.22341399 1.33626593 0.00000000 0.00000000
0 1 9 -0.75000000 -0.00555556 1.05000000 0 -1.92950082 0.90000000 0.00000000 -0.60080842 0.31762075 1.47510424 0.00000000 0.00000000
0 2 0 -0.75000000 0.03888890 -0.80000000 0 -1.20494733 0.60000000 0.00000000 0.48719461 0.37721299 0.92189205 0.00000000 0.00000000
0 2 1 -0.75000000 0.03888890 -0.59444400 0 -1.52554279 0.60000000 0.00000000 -0.17841825 1.05806104 -1.05105839 0.00000000 0.00000000
0 2 2 -0.75000000 0.03888890 -0.38888900 0 -0.70252133 0.90000000 0.00000000 0.19987004 1.69093281 -1.31315995 0.00000000 0.00000000
0 2 3 -0.75000000 0.03888890 -0.18333300 0 -1.47262560 0.80000000 0.00000000 -0.37343176 1.50246392 -0.32004985 0.00000000 0.00000000
0 2 4 -0.75000000 0.03888890 0.02222220 0 -1.05765667 1.00000000 0.00000000 -0.32341061 1.25396063 1.38557464 0.00000000 0.00000000
0 2 5 -0.75000000 0.03888890 0.22777800 0 -1.46594918 1.00000000 0.00000000 0.21763288 0.85539246 0.17286563 0.00000000 0.00000000
0 2 6 -0.75000000 0.03888890 0.43333300 0 -1.98760980 1.00000000 0.00000000 -0.53145094 1.14858643 0.80557845 0.00000000 0.00000000
0 2 7 -0.75000000 0.03888890 0.63888900 0 -1.86527235 1.00000000 0.00000000 -0.63274171 0.95961868 1.34425536 0.00000000 0.00000000
0 2 8 -0.75000000 0.03888890 0.84444400 0 -2.11315189 1.00000000 0.00000000 -0.33538293 0.89763906 0.85844225 0.00000000 0.00000000
0 2 9 -0.75000000 0.03888890 1.05000000 0 -2.11700749 0.90000000 0.00000000 -0.43589672 0.98872098 0.68436002 0.00000000 0.00000000
