# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5
0 0 0 -0.75000000 -0.05000000 -0.80000000 9 -6.06224132 0.70000000 0.00000000 0.23539469 1.78443659 -1.55452865 0.00000000 0.00000000
0 0 1 -0.75000000 -0.05000000 -0.59444400 9 -4.48437504 0.80000000 0.00000000 0.23682731 1.78453349 -1.55499200 0.00000000 0.00000000
0 0 2 -0.75000000 -0.05000000 -0.38888900 9 -3.93072375 0.80000000 0.00000000 0.24081882 1.79080188 -1.55508379 0.00000000 0.00000000
0 0 3 -0.75000000 -0.05000000 -0.18333300 4 -3.16128750 1.00000000 0.00000000 -0.13653476 1.69947377 -0.33784054 0.00000000 0.00000000
0 0 4 -0.75000000 -0.05000000 0.02222220 9 -2.52566233 1.00000000 0.00000000 0.26346143 2.08589472 -1.65082876 0.00000000 0.00000000
0 0 5 -0.75000000 -0.05000000 0.22777800 9 -2.01779848 1.00000000 0.00000000 0.25860815 2.08992554 -1.65528451 0.00000000 0.00000000
0 0 6 -0.75000000 -0.05000000 0.43333300 7 -1.63822631 1.00000000 0.00000000 -0.45931376 1.96755845 0.59283110 0.00000000 0.00000000
0 0 7 -0.75000000 -0.05000000 0.63888900 7 -1.57694730 1.00000000 0.00000000 -0.58822410 1.93948968 0.27712054 0.00000000 0.00000000
0 0 8 -0.75000000 -0.05000000 0.84444400 7 -2.11237592 1.00000000 0.00000000 -0.61346368 1.92336554 0.23809474 0.00000000 0.00000000
0 0 9 -0.75000000 -0.05000000 1.05000000 5 -2.90701952 0.90000000 0.00000000 -0.04532369 0.13589967 1.38573495 0.00000000 0.00000000
0 1 0 -0.75000000 -0.00555556 -0.80000000 9 -5.76446142 0.60000000 0.00000000 0.23645438 1.78526325 -1.55393884 0.00000000 0.00000000
0 1 1 -0.75000000 -0.00555556 -0.59444400 9 -4.18454055 0.70000000 0.00000000 0.23781561 1.78547956 -1.55421656 0.00000000 0.00000000
0 1 2 -0.75000000 -0.00555556 -0.38888900 9 -3.62712706 0.80000000 0.00000000 0.24276488 1.79192725 -1.55389171 0.00000000 0.00000000
0 1 3 -0.75000000 -0.00555556 -0.18333300 1 -3.13631166 0.90000000 0.00000000 -0.03680083 1.52676175 -0.90618535 0.00000000 0.00000000
0 1 4 -0.75000000 -0.00555556 0.02222220 9 -2.22226255 1.00000000 0.00000000 0.26490221 2.08472318 -1.64909763 0.00000000 0.00000000
0 1 5 -0.75000000 -0.00555556 0.22777800 9 -1.71522510 1.00000000 0.00000000 0.25852847 2.08879661 -1.65408308 0.00000000 0.00000000
0 1 6 -0.75000000 -0.00555556 0.43333300 7 -1.47775755 1.00000000 0.00000000 -0.47148385 1.97542652 0.57341326 0.00000000 0.00000000
0 1 7 -0.75000000 -0.00555556 0.63888900 7 -1.36078910 1.00000000 0.00000000 -0.58832156 2.04727332 0.37007600 0.00000000 0.00000000
0 1 8 -0.75000000 -0.00555556 0.84444400 7 -1.92180750 1.00000000 0.00000000 -0.62015913 2.07588253 0.34446852 0.00000000 0.00000000
0 1 9 -0.75000000 -0.00555556 1.05000000 3 -2.63667400 0.90000000 0.00000000 -0.06867925 0.86911827 1.61167208 0.00000000 0.00000000
0 2 0 -0.75000000 0.03888890 -0.80000000 9 -5.66269600 0.60000000 0.00000000 0.23764977 1.78636991 -1.55310855 0.00000000 0.00000000
0 2 1 -0.75000000 0.03888890 -0.59444400 9 -4.08094602 0.60000000 0.00000000 0.23900074 1.78667783 -1.55321502 0.00000000 0.00000000
0 2 2 -0.75000000 0.03888890 -0.38888900 9 -3.51882888 0.90000000 0.00000000 0.24525966 1.79326887 -1.55238225 0.00000000 0.00000000
0 2 3 -0.75000000 0.03888890 -0.18333300 1 -3.24676444 0.80000000 0.00000000 -0.05281194 1.54857401 -0.88416622 0.00000000 0.00000000
0 2 4 -0.75000000 0.03888890 0.02222220 9 -2.11377991 1.00000000 0.00000000 0.26661242 2.08305462 -1.64679247 0.00000000 0.00000000
0 2 5 -0.75000000 0.03888890 0.22777800 9 -1.60614077 1.00000000 0.00000000 0.25807677 2.08690734 -1.65217335 0.00000000 0.00000000
0 2 6 -0.75000000 0.03888890 0.43333300 7 -1.46268394 1.00000000 0.00000000 -0.49269577 1.99012002 0.54025912 0.00000000 0.00000000
0 2 7 -0.75000000 0.03888890 0.63888900 7 -1.25775719 1.00000000 0.00000000 -0.58284457 2.05618895 0.39197613 0.00000000 0.00000000
0 2 8 -0.75000000 0.03888890 0.84444400 7 -1.82847363 1.00000000 0.00000000 -0.60746921 2.07300979 0.36404199 0.00000000 0.00000000
0 2 9 -0.75000000 0.03888890 1.05000000 3 -2.29972170 0.90000000 0.00000000 -0.05278941 0.89516688 1.61724902 0.00000000 0.00000000
0 3 0 -0.75000000 0.08333330 -0.80000000 9 -5.75676994 0.50000000 0.00000000 0.23903023 1.78780628 -1.55198840 0.00000000 0.00000000
0 3 1 -0.75000000 0.08333330 -0.59444400 9 -4.17329466 0.70000000 0.00000000 0.24043748 1.78818747 -1.55192688 0.00000000 0.00000000
0 3 2 -0.75000000 0.08333330 -0.38888900 9 -3.60503979 0.80000000 0.00000000 0.24848799 1.79485461 -1.55045528 0.00000000 0.00000000
0 3 3 -0.75000000 0.08333330 -0.18333300 9 -3.43276293 1.00000000 0.00000000 0.30725263 1.97941616 -1.57686653 0.00000000 0.00000000
0 3 4 -0.75000000 0.08333330 0.02222220 9 -2.19879703 1.00000000 0.00000000 0.26859298 2.08059953 -1.64365276 0.00000000 0.00000000
0 3 5 -0.75000000 0.08333330 0.22777800 9 -1.68744889 1.00000000 0.00000000 0.25686099 2.08365636 -1.64903139 0.00000000 0.00000000
0 3 6 -0.75000000 0.08333330 0.43333300 7 -1.55845180 1.00000000 0.00000000 -0.52031816 2.01224906 0.49877327 0.00000000 0.00000000
0 3 7 -0.75000000 0.08333330 0.63888900 7 -1.25785190 1.00000000 0.00000000 -0.57801873 2.05935323 0.40540066 0.00000000 0.00000000
0 3 8 -0.75000000 0.08333330 0.84444400 7 -1.82769356 1.00000000 0.00000000 -0.59510892 2.07035644 0.38239773 0.00000000 0.00000000
0 3 9 -0.75000000 0.08333330 1.05000000 3 -2.08356634 1.00000000 0.00000000 -0.02615209 0.93934316 1.63167380 0.00000000 0.00000000
0 4 0 -0.75000000 0.12777800 -0.80000000 9 -6.04637358 0.50000000 0.00000000 0.24065687 1.78965084 -1.55050173 0.00000000 0.00000000
0 4 1 -0.75000000 0.12777800 -0.59444400 9 -4.46111778 0.40000000 0.00000000 0.24218832 1.79009663 -1.55025882 0.00000000 0.00000000
0 4 2 -0.75000000 0.12777800 -0.38888900 9 -3.88449614 0.70000000 0.00000000 0.25268595 1.79672245 -1.54795367 0.00000000 0.00000000
0 4 3 -0.75000000 0.12777800 -0.18333300 5 -3.63724551 0.80000000 0.00000000 0.67601343 0.61942391 -0.00975098 0.00000000 0.00000000
0 4 4 -0.75000000 0.12777800 0.02222220 3 -2.45947879 0.90000000 0.00000000 -0.05137733 1.55876737 1.62312163 0.00000000 0.00000000
0 4 5 -0.75000000 0.12777800 0.22777800 3 -1.84872554 1.00000000 0.00000000 -0.03626146 1.57668293 1.60759692 0.00000000 0.00000000
0 4 6 -0.75000000 0.12777800 0.43333300 7 -1.73921449 1.00000000 0.00000000 -0.54355365 2.03499151 0.46257008 0.00000000 0.00000000
0 4 7 -0.75000000 0.12777800 0.63888900 7 -1.35429239 1.00000000 0.00000000 -0.57622676 2.06422610 0.40627952 0.00000000 0.00000000
0 4 8 -0.75000000 0.12777800 0.84444400 7 -1.91396477 1.00000000 0.00000000 -0.58666204 2.07141775 0.38964739 0.00000000 0.00000000
0 4 9 -0.75000000 0.12777800 1.05000000 3 -1.91552381 1.00000000 0.00000000 0.02214849 1.02023585 1.66078236 0.00000000 0.00000000
0 5 0 -0.75000000 0.17222200 -0.80000000 9 -6.53095595 0.60000000 0.00000000 0.24260236 1.79202652 -1.54852252 0.00000000 0.00000000
0 5 1 -0.75000000 0.17222200 -0.59444400 9 -4.94357887 0.50000000 0.00000000 0.24430403 1.79254968 -1.54804950 0.00000000 0.00000000
0 5 2 -0.75000000 0.17222200 -0.38888900 9 -4.35494462 0.90000000 0.00000000 0.25809653 1.79895367 -1.54460474 0.00000000 0.00000000
0 5 3 -0.75000000 0.17222200 -0.18333300 5 -3.93643293 0.80000000 0.00000000 0.67678691 0.62035599 -0.00862422 0.00000000 0.00000000
0 5 4 -0.75000000 0.17222200 0.02222220 3 -2.76263016 0.80000000 0.00000000 -0.05247846 1.55687022 1.62417007 0.00000000 0.00000000
0 5 5 -0.75000000 0.17222200 0.22777800 3 -2.16365631 1.00000000 0.00000000 -0.04045534 1.56774708 1.61295314 0.00000000 0.00000000
0 5 6 -0.75000000 0.17222200 0.43333300 7 -1.99584965 1.00000000 0.00000000 -0.56150314 2.05797135 0.42107167 0.00000000 0.00000000
0 5 7 -0.75000000 0.17222200 0.63888900 7 -1.54449824 1.00000000 0.00000000 -0.57933308 2.07672223 0.38193647 0.00000000 0.00000000
0 5 8 -0.75000000 0.17222200 0.84444400 3 -1.83008229 1.00000000 0.00000000 -0.01102944 0.96725481 1.63875671 0.00000000 0.00000000
0 5 9 -0.75000000 0.17222200 1.05000000 3 -1.77760311 1.00000000 0.00000000 0.05276961 1.07185432 1.67962518 0.00000000 0.00000000
0 6 0 -0.75000000 0.21666700 -0.80000000 9 -7.20951650 0.40000000 0.00000000 0.24493988 1.79514091 -1.54581902 0.00000000 0.00000000
0 6 1 -0.75000000 0.21666700 -0.59444400 9 -5.61900084 0.40000000 0.00000000 0.24674188 1.79582368 -1.54497282 0.00000000 0.00000000
0 6 2 -0.75000000 0.21666700 -0.38888900 7 -4.31331855 0.60000000 0.00000000 0.21223736 1.63735846 0.48844558 0.00000000 0.00000000
0 6 3 -0.75000000 0.21666700 -0.18333300 9 -3.75331203 0.90000000 0.00000000 0.52756548 1.40934128 -1.59984719 0.00000000 0.00000000
0 6 4 -0.75000000 0.21666700 0.02222220 9 -2.37492691 0.80000000 0.00000000 0.49400480 1.37901769 -1.60950324 0.00000000 0.00000000
0 6 5 -0.75000000 0.21666700 0.22777800 9 -1.90043703 0.90000000 0.00000000 0.48018442 1.37055362 -1.61214729 0.00000000 0.00000000
0 6 6 -0.75000000 0.21666700 0.43333300 7 -2.23332557 1.00000000 0.00000000 -0.61179568 2.19859904 0.05244998 0.00000000 0.00000000
