# Y Z ROLL candidate quality planning q0 q1 q2 q3 q4 q5
-0.75 -0.05 -0.8 0 8.06573 0.7 0 -1.04102 1.45241 0.928734 0 0
-0.75 -0.05 -0.594444 1 7.10794 0.6 0 -0.320324 0.793335 0.649266 0 0
-0.75 -0.05 -0.388889 0 9.07517 0.8 0 0.020407 1.41816 0.762981 0 0
-0.75 -0.05 -0.183333 1 10.0798 0.9 0 -0.319226 1.28732 0.799273 0 0
-0.75 -0.05 0.0222222 7 10.0851 0.9 0 -0.0075661 1.39879 0.236318 0 0
-0.75 -0.05 0.227778 0 11.1017 1 0 -0.0292787 1.04357 0.111846 0 0
-0.75 -0.05 0.433333 0 11.0962 1 0 0.111896 1.04743 0.624199 0 0
-0.75 -0.05 0.638889 2 11.0954 1 0 -0.77211 0.719625 1.16018 0 0
-0.75 -0.05 0.844444 1 11.0887 1 0 -0.563621 1.03991 0.881833 0 0
-0.75 -0.05 1.05 4 10.0825 0.9 0 -0.350761 1.14974 1.16168 0 0
-0.75 -0.00555556 -0.8 0 7.07459 0.6 0 -0.175614 1.58604 0.255689 0 0
-0.75 -0.00555556 -0.594444 0 8.08959 0.7 0 -0.304108 1.17173 0.730415 0 0
-0.75 -0.00555556 -0.388889 2 8.07437 0.7 0 -0.75125 1.5448 0.269626 0 0
-0.75 -0.00555556 -0.183333 0 10.0811 0.9 0 -0.216744 1.478 -0.127831 0 0
-0.75 -0.00555556 0.0222222 2 10.0776 0.9 0 -0.290856 1.52529 0.455278 0 0
-0.75 -0.00555556 0.227778 9 10.0614 0.9 0 -0.47369 1.78238 0.281867 0 0
-0.75 -0.00555556 0.433333 0 11.1092 1 0 -0.088061 0.71132 0.704335 0 0
-0.75 -0.00555556 0.638889 1 11.0869 1 0 -0.0335822 1.06721 1.11287 0 0
-0.75 -0.00555556 0.844444 8 10.0817 0.9 0 -0.0916113 1.23279 0.907091 0 0
-0.75 -0.00555556 1.05 2 10.079 0.9 0 -0.318073 1.24269 1.10633 0 0
-0.75 0.0388889 -0.8 1 6.08138 0.5 0 0.0646161 1.25431 0.824269 0 0
-0.75 0.0388889 -0.594444 2 6.05613 0.5 0 0.336846 1.53684 1.17228 0 0
-0.75 0.0388889 -0.388889 0 10.0426 0.9 0 0.233733 1.77968 -1.55904 0 0
-0.75 0.0388889 -0.183333 0 9.07885 0.8 0 -0.381086 1.49591 -0.384947 0 0
-0.75 0.0388889 0.0222222 3 9.088 0.8 0 -0.214687 1.3412 0.28927 0 0
-0.75 0.0388889 0.227778 6 10.076 0.9 0 -0.121929 1.5733 -0.138854 0 0
-0.75 0.0388889 0.433333 2 11.0819 1 0 -0.608705 1.23242 0.777533 0 0
-0.75 0.0388889 0.638889 0 11.0805 1 0 -0.719164 1.03018 1.57581 0 0
-0.75 0.0388889 0.844444 0 11.0939 1 0 -0.346799 0.965032 0.777212 0 0
-0.75 0.0388889 1.05 0 10.0994 0.9 0 -0.430849 1.04414 0.584897 0 0
-0.75 0.0833333 -0.8 6 5.04908 0.4 0 0.295958 1.78595 0.279637 0 0
-0.75 0.0833333 -0.594444 0 8.03437 0.7 0 0.483912 1.78848 0.295598 0 0
-0.75 0.0833333 -0.388889 0 9.01448 0.8 0 0.432688 2.02243 -1.36681 0 0
-0.75 0.0833333 -0.183333 0 11.0672 1 0 -0.99046 1.50029 -1.34585 0 0
-0.75 0.0833333 0.0222222 3 10.0829 0.9 0 -1.23787 1.29851 0.00319724 0 0
-0.75 0.0833333 0.227778 7 10.0843 0.9 0 -0.176203 1.41501 -0.16894 0 0
-0.75 0.0833333 0.433333 1 11.0687 1 0 -0.2958 1.4506 1.09899 0 0
-0.75 0.0833333 0.638889 3 11.076 1 0 -0.618196 1.2165 1.36874 0 0
-0.75 0.0833333 0.844444 2 11.0881 1 0 -0.0697094 0.867838 1.6044 0 0
-0.75 0.0833333 1.05 2 11.0826 1 0 -0.418601 1.12271 1.23494 0 0
-0.75 0.127778 -0.8 1 6.02717 0.5 0 0.622586 1.65295 -0.0286806 0 0
-0.75 0.127778 -0.594444 4 5.04919 0.4 0 0.57992 1.35564 0.347225 0 0
-0.75 0.127778 -0.388889 2 7.05261 0.6 0 0.029139 1.78272 -1.457 0 0
-0.75 0.127778 -0.183333 2 8.08134 0.7 0 -0.0910962 1.41089 -0.939251 0 0
-0.75 0.127778 0.0222222 3 9.07619 0.8 0 -0.793566 1.48975 0.563232 0 0
-0.75 0.127778 0.227778 3 10.0924 0.9 0 -0.60559 1.21339 0.326771 0 0
-0.75 0.127778 0.433333 1 11.0812 1 0 -0.880742 1.23596 0.757623 0 0
-0.75 0.127778 0.638889 1 11.0945 1 0 -0.614842 0.775232 1.18613 0 0
-0.75 0.127778 0.844444 0 11.1019 1 0 -0.297631 0.53785 1.15823 0 0
-0.75 0.127778 1.05 0 11.1174 1 0 -0.527938 0.211337 0.664771 0 0
-0.75 0.172222 -0.8 0 7.01414 0.6 0 -0.271718 2.17968 0.219844 0 0
-0.75 0.172222 -0.594444 6 6.02607 0.5 0 -0.408606 2.26035 -0.0833473 0 0
-0.75 0.172222 -0.388889 0 10.0399 0.9 0 -0.476312 2.04427 -0.845219 0 0
-0.75 0.172222 -0.183333 3 8.05976 0.7 0 -0.0938853 1.82072 -0.431414 0 0
-0.75 0.172222 0.0222222 2 8.10093 0.7 0 0.305314 0.223193 1.20058 0 0
-0.75 0.172222 0.227778 0 11.0718 1 0 0.513871 0.756136 1.42065 0 0
-0.75 0.172222 0.433333 3 10.1003 0.9 0 -0.0454242 0.737703 0.850436 0 0
-0.75 0.172222 0.638889 8 10.0902 0.9 0 -0.334409 1.02213 0.88575 0 0
-0.75 0.172222 0.844444 6 10.1168 0.9 0 -0.0552992 0.534809 0.172868 0 0
-0.75 0.172222 1.05 5 10.1133 0.9 0 0.0676064 0.586066 0.376817 0 0
-0.75 0.216667 -0.8 2 5.02759 0.4 0 0.0551997 2.22613 0.408672 0 0
-0.75 0.216667 -0.594444 9 4.0092 0.3 0 -0.473766 1.3805 0.223864 0 0
-0.75 0.216667 -0.388889 0 7.10041 0.6 0 -0.50137 1.0357 0.23282 0 0
-0.75 0.216667 -0.183333 5 7.08647 0.6 0 0.248762 1.15402 -0.255337 0 0
-0.75 0.216667 0.0222222 0 9.08868 0.8 0 0.517381 0.143981 0.661949 0 0
-0.75 0.216667 0.227778 2 9.08889 0.8 0 0.4169 0.443582 1.31754 0 0
-0.75 0.216667 0.433333 1 10.1034 0.9 0 -0.0739589 1.00879 -0.0265461 0 0
-0.75 0.216667 0.638889 6 10.0902 0.9 0 0.0304315 1.28988 -0.0444135 0 0
-0.75 0.216667 0.844444 4 10.0963 0.9 0 0.174964 0.986721 -0.439648 0 0
-0.75 0.216667 1.05 9 10.111 0.9 0 -0.127496 0.76691 -0.224624 0 0
-0.75 0.261111 -0.8 0 5.02736 0.4 0 -0.124751 2.10065 0.417632 0 0
-0.75 0.261111 -0.594444 0 5.09267 0.4 0 0.170658 1.09437 0.355399 0 0
-0.75 0.261111 -0.388889 0 7.07754 0.6 0 0.565861 0.34788 1.15677 0 0
-0.75 0.261111 -0.183333 0 10.0627 0.9 0 0.212663 1.63432 0.484457 0 0
-0.75 0.261111 0.0222222 2 7.07725 0.6 0 0.371467 1.14353 0.698713 0 0
-0.75 0.261111 0.227778 2 8.09452 0.7 0 -0.501925 0.91661 0.794316 0 0
-0.75 0.261111 0.433333 0 10.1023 0.9 0 0.144584 0.867788 0.324123 0 0
-0.75 0.261111 0.638889 0 11.0834 1 0 0.0442932 1.4179 0.0536764 0 0
-0.75 0.261111 0.844444 0 11.0982 1 0 0.341537 0.5523 0.251498 0 0
-0.75 0.261111 1.05 0 11.1083 1 0 -0.285171 0.689657 -1.03266 0 0
-0.75 0.305556 -0.8 1 4.99249 0.4 0 -0.0358121 2.12394 0.62 0 0
-0.75 0.305556 -0.594444 1 5.0917 0.4 0 0.228069 1.05157 0.292373 0 0
-0.75 0.305556 -0.388889 1 6.07611 0.5 0 0.537286 0.543611 1.2837 0 0
-0.75 0.305556 -0.183333 6 6.09662 0.5 0 0.310015 0.399267 1.37336 0 0
-0.75 0.305556 0.0222222 3 7.10233 0.6 0 0.175841 0.830454 0.14965 0 0
-0.75 0.305556 0.227778 0 9.0797 0.8 0 0.100079 1.43013 0.513182 0 0
-0.75 0.305556 0.433333 0 10.0821 0.9 0 0.20897 1.01608 1.65082 0 0
-0.75 0.305556 0.638889 2 10.0958 0.9 0 -0.179544 0.829681 1.04145 0 0
-0.75 0.305556 0.844444 0 11.1033 1 0 0.309073 0.261877 0.878182 0 0
-0.75 0.305556 1.05 0 11.1116 1 0 0.0399567 0.630955 -0.662089 0 0
-0.75 0.35 -0.8 4 2.99779 0.2 0 0.0571038 0.699893 0.634558 0 0
-0.75 0.35 -0.594444 0 4.07855 0.3 0 0.508345 0.835421 0.294845 0 0
-0.75 0.35 -0.388889 0 5.07292 0.4 0 0.144746 1.41948 0.843204 0 0
-0.75 0.35 -0.183333 0 7.1052 0.6 0 -0.0829991 0.442617 1.03395 0 0
-0.75 0.35 0.0222222 0 9.09983 0.8 0 0.0682106 0.806719 0.773563 0 0
-0.75 0.35 0.227778 1 8.10627 0.7 0 0.0818688 0.839251 0.299666 0 0
-0.75 0.35 0.433333 1 9.07811 0.8 0 0.542563 0.606838 0.8726 0 0
-0.75 0.35 0.638889 5 9.09917 0.8 0 0.0970715 0.718706 1.03921 0 0
-0.75 0.35 0.844444 7 9.10345 0.8 0 0.228118 0.544115 0.914875 0 0
-0.75 0.35 1.05 0 10.1193 0.9 0 -0.0183451 0.267091 0.545924 0 0
