# Y Z ROLL candidate quality planning q0 q1 q2 q3 q4 q5
-0.75 -0.05 -0.8 4 8.08222 0.7 0 -0.10052 1.2239 0.887049 0 0
-0.75 -0.05 -0.594444 0 9.10251 0.8 0 -0.57205 0.559219 0.932422 0 0
-0.75 -0.05 -0.388889 0 11.1076 1 0 -0.681919 0.132417 0.908837 0 0
-0.75 -0.05 -0.183333 0 10.0961 0.9 0 0.107556 0.881763 0.835184 0 0
-0.75 -0.05 0.0222222 2 11.0739 1 0 0.465648 0.864172 1.36133 0 0
-0.75 -0.05 0.227778 3 11.0907 1 0 0.298076 0.732197 1.34574 0 0
-0.75 -0.05 0.433333 2 11.0822 1 0 -1.02971 0.860557 1.70497 0 0
-0.75 -0.05 0.638889 9 10.0837 0.9 0 -0.053126 1.01991 1.53811 0 0
-0.75 -0.05 0.844444 5 11.0602 1 0 -0.486321 1.57545 1.18018 0 0
-0.75 -0.05 1.05 2 10.0542 0.9 0 -0.62562 1.64162 1.30157 0 0
-0.75 -0.00555556 -0.8 0 9.05531 0.8 0 0.478007 1.45437 -0.203832 0 0
-0.75 -0.00555556 -0.594444 1 10.0622 0.9 0 -0.446264 1.77907 0.087393 0 0
-0.75 -0.00555556 -0.388889 0 11.0588 1 0 -0.0368694 1.84392 0.0838034 0 0
-0.75 -0.00555556 -0.183333 4 10.0566 0.9 0 0.409953 1.52945 0.378738 0 0
-0.75 -0.00555556 0.0222222 1 11.0523 1 0 0.442992 1.36565 1.57543 0 0
-0.75 -0.00555556 0.227778 0 11.098 1 0 -0.0687285 0.580033 1.45221 0 0
-0.75 -0.00555556 0.433333 0 11.0874 1 0 0.124002 0.889632 1.60272 0 0
-0.75 -0.00555556 0.638889 8 10.0927 0.9 0 0.339155 0.618899 1.1795 0 0
-0.75 -0.00555556 0.844444 9 10.0851 0.9 0 -0.505908 1.04187 1.26827 0 0
-0.75 -0.00555556 1.05 0 10.0967 0.9 0 -0.113531 0.828091 0.958577 0 0
