# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5
0 0 0 -0.75 -0.05 -0.8 0 8.06573 0.7 0 -1.04102 1.45241 0.928734 0 0
0 0 0 -0.75 -0.05 -0.8 1 7.10103 0.6 0 -0.396424 0.569794 1.14733 0 0
0 0 0 -0.75 -0.05 -0.8 2 7.07755 0.6 0 0.280615 1.26749 0.716097 0 0
0 0 0 -0.75 -0.05 -0.8 3 7.02226 0.6 0 0.617815 1.7414 -0.040245 0 0
0 0 0 -0.75 -0.05 -0.8 4 6.10705 0.5 0 0.0905996 0.04047 1.20967 0 0
0 0 0 -0.75 -0.05 -0.8 5 6.09317 0.5 0 -0.679927 0.72608 1.38972 0 0
0 0 0 -0.75 -0.05 -0.8 6 6.09037 0.5 0 0.285266 0.561679 1.72726 0 0
0 0 0 -0.75 -0.05 -0.8 7 6.07829 0.5 0 -0.257768 1.52899 -0.162681 0 0
0 0 0 -0.75 -0.05 -0.8 8 6.07372 0.5 0 -0.0958727 1.53056 -1.0587 0 0
0 0 0 -0.75 -0.05 -0.8 9 6.06212 0.5 0 -0.604422 1.76423 -0.19357 0 0
0 0 1 -0.75 -0.05 -0.594444 0 9.07679 0.8 0 -0.38503 1.43967 -1.14552 0 0
0 0 1 -0.75 -0.05 -0.594444 1 7.10794 0.6 0 -0.320324 0.793335 0.649266 0 0
0 0 1 -0.75 -0.05 -0.594444 2 7.10755 0.6 0 0.0443145 0.226064 -1.67167 0 0
0 0 1 -0.75 -0.05 -0.594444 3 7.10406 0.6 0 -0.703297 0.846309 0.620585 0 0
0 0 1 -0.75 -0.05 -0.594444 4 7.08914 0.6 0 0.0266091 0.870321 1.528 0 0
0 0 1 -0.75 -0.05 -0.594444 5 7.07822 0.6 0 0.247787 1.26363 0.908764 0 0
0 0 1 -0.75 -0.05 -0.594444 6 7.03544 0.6 0 0.450631 1.80546 -0.528045 0 0
0 0 1 -0.75 -0.05 -0.594444 7 7.03109 0.6 0 -1.17501 1.99392 -1.51176 0 0
